id;kata_slang;kata_benar
253;de;adik
254;dech;deh
255;dek;adik
256;deket;dekat
257;demen;suka
258;dengerin;dengarkan
259;deyh;deh
260;dg;dengan
261;dgn;dengan
262;dh;deh
263;diancurin;dihancurkan
264;digosipin;digosipkan
265;dimaafin;dimaafkan
266;dimana2;dimana-mana
267;dimintak;diminta
268;dimna;dimana
269;disono;di sana
270;diuber;dikejar
271;dket;dekat
272;dkit;sedikit
273;dkk;dan kawan-kawan
274;dl;dulu
275;dll;dan lain-lain
276;dlm;dalam
277;dlu;dulu
278;dmn;dimana
279;dngn;dengan
280;doang;saja
281;dodol;bodoh
282;doi;dia
283;doku;uang
284;don juan;playboy
285;dongs;dong
286;donlot;unduh
287;dpt;dapat
288;dr;dari
289;dri;dari
290;drmana;darimana
291;drmn;darimana
292;drpd;daripada
293;drtd;dari tadi
294;dsb;dan sebagainya
295;dst;dan seterusnya
296;dstu;disitu
297;dtg;datang
298;dugem;dunia gemerlap
299;duh;aduh
300;duit;uang
301;duren;durian
302;dy;dia
303;ed;edisi
304;edan;gila
305;egp;emang gue pikirin
306;eike;aku
307;eke;aku
308;elo;kamu
309;elu;kamu
310;emang;memang
311;emangnya;memangnya
312;emg;memang
313;emng;memang
314;emte;makan teman
315;endak;tidak
316;engga;tidak
317;enggak;tidak
318;entar;nanti
319;envy;iri
320;etc;et cetera
321;ex;mantan
322;ext;extension
323;fax;facsimile
324;fb;facebook
325;fifo;first in first out
326;finek;finansial ekonomi
327;folbek;follow back
328;fwd;diterukan
329;fyi;sebagai informasi
330;ga;tidak
331;gaada;tidak ada uang
332;gabisa;tidak bisa
333;gag;tidak
334;gahar;sangar
335;gaje;tidak jelas
336;gak;tidak
337;gak papa;tidak apa-apa
338;gamau;tidak mau
339;gan;juragan
340;gapapa;tidak apa-apa
341;gaptek;gagap teknologi
342;gatau;tidak tahu
343;gatek;gagap teknologi
344;gatot;gagal total
345;gawe;kerja
346;gax;tidak
347;gbs;tidak bisa
348;gda;tidak ada uang
349;gebetan;orang yang disuka
350;geer;gede rasa
351;geje;tidak jelas
352;gelo;gila
353;gepeng;gelandangan dan pengemis
354;ghiey;lagi
355;ghiy;lagi
356;gi;lagi
357;gile;gila
358;giman;gigi mancung
359;gimana;bagaimana
360;gini;begini
361;gino;gigi nongol
362;gitchu;gitu
363;githu;gitu
364;gitu;begitu
365;gj;tidak jelas
366;gk;tidak
367;gmana;bagaimana
368;gmn;bagaimana
369;gn;begini
370;goblog;goblok
371;goblok;bodoh
372;good;bagus
373;gokil;gila
374;golput;golongan putih
375;gombal;suka merayu
376;gowes;mengayuh sepeda
377;gpl;tidak pakai lama
378;gpny;tidak punya
379;gpp;tidak apa-apa
380;gr;gede rasa
381;gretong;gratis
382;gretongan;gratisan
383;gt;begitu
384;gtau;tidak tahu
385;gtw;tidak tahu
386;gua;saya
387;gue;saya
388;guoblok;goblok
389;guys;teman-teman
390;gw;saya
391;gws;cepat sembuh
392;ha;tertawa
393;haghaghag;tertawa
394;haha;tertawa
395;hakhak;tertawa
396;hallow;halo
397;handak;bahan peledak
398;hankam;pertahanan dan keamanan
399;hansip;pertahanan sipil
400;hehe;he
401;hellow;halo
402;helo;halo
403;helow;halo
404;hey;hai
405;hi;hai
406;hlm;halaman
407;hlng;hilang
408;hny;hanya
409;hnya;hanya
410;hoax;isu bohong
411;houm;rumah
412;hr;hari
413;hrs;harus
414;hrus;harus
415;hubad;hubungan angkatan darat
416;hubdar;perhubungan darat
417;hubla;perhubungan laut
418;huff;mengeluh
419;huft;mengeluh
420;hum;rumah
421;humas;hubungan masyarakat
422;humz;rumah
423;idk;saya tidak tahu
424;ilang;hilang
425;ilfeel;tidak suka
426;ilfil;tidak suka
427;imba;jago sekali
428;imho;in my humble opinion
429;imoet;imut
430;imoetz;imut
431;info;informasi
432;item;hitam
433;itung;hitung
434;itungan;hitungan
435;isengin;bercanda
436;iy;iya
437;iyala;iya lah
438;iye;iya
439;iyo;iya
440;ja;saja
441;jablay;jarang dibelai
442;jadiin;jadikan
443;jadul;jaman dulu
444;jaim;jaga image
445;jancuk;anjing
446;jayus;tidak lucu
447;jd;jadi
448;jdi;jadi
449;jdikan;jadikan
450;jem;jam
451;jg;juga
452;jga;juga
453;jgn;jangan
454;jgnkan;jangankan
455;jijay;jijik
456;jir;anjing
457;jkt;jakarta
458;jln;jalan
459;jnj;janji
460;jomblo;tidak punya pacar
461;jth;jatuh
462;jubir;juru bicara
463;jurdil;jujur adil
464;jutek;galak
465;jwb;jawab
466;k;ke
467;ka;kakak
468;kab;kabupaten
469;kabag;kepala bagian
470;kabor;kabur
471;kacian;kasihan
472;kacrut;kacau
473;kadit;kepala direktorat
474;kadiv;kepala divisi
475;kaga;tidak
476;kagak;tidak
477;kaka;kakak
478;kalo;kalau
479;kalo;kalau
480;kampret;sialan
481;kamtib;keamanan dan ketertiban
482;kamtibmas;keamanan dan ketertiban masyarakat
483;kamuh;kamu
484;kamuwh;kamu
485;kamyu;kamu
486;kanwil;kantor wilayah
487;kapt;kapten
488;karna;karena
489;kasat;kepala satuan
490;kasubbag;kepala subbagian
491;kasubbid;kepala subbidang
492;katrok;kampungan
493;kau;kamu
494;kayanya;kayaknya
495;kbar;kabar
496;kbr;kabar
497;kcian;kasihan
498;kdu;harus
499;keburu;terlanjur
500;kec;kecamatan
501;kedubes;kedutaan besar
502;kejurnas;kejuaraan nasional
503;kek;seperti
504;kekeuh;keras kepala
505;keknya;kayaknya
506;kel;kelurahan
507;keliatan;kelihatan
508;kemaren;kemarin
509;keneh;masih
510;kepengen;mau
511;kepikiran;terpikirkan
512;kepingin;mau
513;kepo;mau tahu urusan orang
514;kepsek;kepala sekolah
515;kere;tidak punya uang
516;kesbang;kesatuan bangsa
517;kesian;kasihan
518;kesra;kesejahteraan rakyat
519;ketauan;ketahuan
520;ketrima;diterima
521;keukeuh;keras kepala
522;kgiatan;kegiatan
523;khan;kan
524;kibul;bohong
525;kibus;kaki busuk
526;kimpoi;kawin
527;kk;kakak
528;kl;kalau
529;klian;kalian
530;klianz;kalian
531;klo;kalau
532;kloter;kelompok terbang
533;kluarga;keluarga
534;klw;kalau
535;klwrga;keluarga
536;km;kamu
537;kmari;kemari
538;kmps;kampus
539;kmpus;kampus
540;kmrn;kemarin
541;kn;kan
542;knal;kenal
543;knl;kenal
544;knp;kenapa
545;knpa;kenapa
546;kodya;kota madya
547;kog;kok
548;komdis;komisi disiplin
549;kompi;komputer
550;komsov;komunis sovyet
551;komtiong;komunis Tiongkok
552;kongkow;kumpul bareng teman-teman
553;konjen;konsulat jenderal
554;kopdar;kopi darat
555;koq;kok
556;korup;korupsi
557;kpd;kepada
558;kpn;kapan
559;kptsan;keputusan
560;krenz;keren
561;krik;garing
562;krm;kirim
563;krn;karena
564;kt;kita
565;ktauan;ketahuan
566;ktmu;ketemu
567;ktny;katanya
568;ktr;kantor
569;kudu;harus
570;kuper;kurang pergaulan
571;kuq;kok
572;kw;imitasi
573;ky;seperti
574;kyk;seperti
575;kykny;kayanya
576;la;lah
577;laka;kecelakaan
578;lam;salam
579;lambreta;lambat
580;lamp;lampiran
581;lansia;lanjut usia
582;lanud;landasan udara
583;lapas;lembaga pemasyarakatan
584;latgab;latihan gabungan
585;lbur;libur
586;lebay;berlebihan
587;leh;boleh
588;leh;boleh
589;lekong;laki-laki
590;lelet;lambat
591;lemot;lambat berfikir
592;lemot;lemah otak
593;lg;lagi
594;lgi;lagi
595;lgkp;lengkap
596;lgsg;langsung
597;lht;lihat
598;liat;lihat
599;linmas;perlindungan masyarakat
600;litbang;penelitian dan pengembangan
601;lmyan;lumayan
602;lmyn;lumayan
603;lngkp;lengkap
604;lo;kamu
605;loch;loh
606;loe;kamu
607;lol;tertawa
608;lola;lambat berfikir
609;lom;belum
610;louph;cinta
611;loupz;cinta
612;low;kalau
613;lowh;kamu
614;lp;lupa
615;lu;kamu
616;luber;langsung, umum, bebas, dan rahasia
617;luchu;lucu
618;luchuw;lucu
619;luff;cinta
620;lum;belum
621;luph;cinta
622;luthu;lucu
623;lw;kamu
624;lwn;lawan
625;lwt;lewat
626;maacih;terima kasih
627;maaciw;terima kasih
628;mabal;bolos
629;mabes;markas besar
630;macem;macam
631;macem-macem;macam-macam
632;macih;masih
633;madesu;masa depan suram
634;maem;makan
635;maen;main
636;magabut;makan gaji buta
637;mahatma;maju sehat bersama
638;maho;homo
639;mak;ibu
640;mak jang;kaget
641;makasih;terima kasih
642;maksain;memaksa
643;malah;bahkan
644;malem;malam
645;malu2in;memalukan
646;mam;makan
647;mamz;makan
648;maneh;kamu
649;manies;manis
650;maniez;manis
651;mantep;mantap
652;mao;mau
653;markus;makelar kasus
654;masukin;masukkan
655;mba;mbak
656;melu;ikut
657;mending;lebih baik
658;mepet;dekat sekali
659;mgkn;mungkin
660;mgu;minggu
661;mhn;mohon
662;migas;minyak dan gas bumi
663;miker;minuman keras
664;mikol;minuman beralkohol
665;milis;mailing list
666;miras;minuman keras
667;mksd;maksud
668;mlah;malah
669;mls;malas
670;mngkn;mungkin
671;mnt;minta
672;mo;mau
673;moge;motor gede
674;mokad;mati
675;mokat;mati
676;moso;masa
677;mosok;masa
678;mpe;sampai
679;msh;masih
680;msk;masuk
681;mskpn;meskipun
682;mslh;masalah
683;msng2;masing-masing
684;mt;makan teman
685;muahal;mahal
686;mubes;musyawarah besar
687;muker;musyawarah kerja
688;mulu;melulu
689;mumet;pusing
690;mumpung;selagi
691;muna;munafik
692;munas;musyawarah nasional
693;munaslub;musyawarah nasional luar biasa
694;muntaber;muntah dan berak
695;musda;musyawarah daerah
696;musti;mesti
697;muup;maaf
698;muupz;maaf
699;muuv;maaf
700;mw;mau
701;mw;now watching
702;n;dan
703;nal;kenal
704;nanam;menanam
705;nangis;menangis
706;nanya;bertanya
707;naon;apa
708;napa;kenapa
709;napa;kenapa
710;napi;narapidana
711;napol;narapidana politik
712;napza;narkotika, alkohol, psikotropika, dan zat adiktif 
713;naq;anak
714;narkoba;narkotika, psikotropika, dan obat terlarang
715;narsis;bangga pada diri sendiri
716;nasgor;nasi goreng
717;nax;anak
718;nda;tidak
719;ndak;tidak
720;ndiri;sendiri
721;ndut;gendut
722;ne;ini
723;nekolim;neokolonialisme
724;nekolin;neokolonialisme
725;nelfon;menelepon
726;nembak;menyatakan cinta
727;ngabis2in;menghabiskan
728;ngabuburit;menunggu berbuka puasa
729;ngakak;tertawa
730;ngaku;mengaku
731;ngambek;marah
732;ngambil;mengambil
733;ngampus;pergi ke kampus
734;nganggur;tidak punya pekerjaan
735;ngantri;mengantri
736;ngapah;kenapa
737;ngapain;sedang apa
738;ngaret;terlambat
739;ngaruh;berpengaruh
740;ngasih;memberikan
741;ngawur;berbicara sembarangan
742;ngebandel;berbuat bandel
743;ngeceng;kumpul bareng-bareng
744;ngegosip;bergosip
745;ngeh;sadar
746;ngeklaim;mengklaim
747;ngekos;tinggal di kos
748;ngeksis;menjadi eksis
749;ngelamar;melamar
750;ngeles;berkilah
751;ngeliat;melihat
752;ngelidur;menggigau
753;ngemeng;bicara terus-terusan
754;ngerampok;merampok
755;ngerti;mengerti
756;ngga;tidak
757;nggak;tidak
758;ngibul;berbohong
759;ngikut;ikut
760;ngiler;mau
761;nginep;menginap
762;ngiri;iri
763;ngisi;mengisi
764;ngisiin;mengisikan
765;ngmg;bicara
766;ngmng;bicara
767;ngocol;lucu
768;ngomong;bicara
769;ngomongin;membicarakan
770;ngubek2;mencari-cari
771;ngumpul;berkumpul
772;ngurus;mengurus
773;ni;ini
774;nice;bagus
775;nie;ini
776;niech;nih
777;nih;ini
778;nimbrung;ikut serta
779;niyh;nih
780;nkah;nikah
781;nmr;nomor
782;nnti;nanti
783;nntn;nonton
784;no;nomor
785;nobar;nonton bareng
786;nongkrong;kumpul-kumpul
787;np;now playing
788;nrp;narapidana
789;ntar;nanti
790;ntar;sebentar
791;ntn;nonton
792;nuhun;terima kasih
793;numpuk;bertumpuk
794;nunggu;menunggu
795;nutupin;menutupi
796;nyampah;membuat sampah
797;nyasar;tersesat
798;nyari;mencari
799;nyariin;mencari
800;nyekar;menyekar
801;nyiapin;mempersiapkan
802;nyicil;mencicil
803;nyiram;menyiram
804;nyoblos;mencoblos
805;nyok;ayo
806;nyokap;ibu
807;o/;oleh
808;ogah;tidak mau
809;ok;ok
810;okt;oktober
811;ol;online
812;omdo;omong doang
813;ongkir;ongkos kirim
814;oon;bodoh
815;oot;out of topic
816;org;orang
817;org2;orang-orang
818;orkes;olahraga dan kesehatan
819;ortu;orang tua
820;ospek;orientasi studi dan pengenalan kampus
821;otda;otonomi daerah
822;otre;ok
823;otw;on the way, sedang di jalan
824;pa;apa
825;pacal;pacar
826;pahe;paket hemat
827;pake;pakai
828;pakek;pakai
829;pala;kepala
830;panja;panitia kerja
831;pansus;panitia khusus
832;pantura;pantai utara
833;parpol;partai politik
834;pas2an;pas-pasan
835;pasutri;pasangan suami istri
836;patas;cepat dan terbatas
837;pd;pada
838;pdhl;padahal
839;pede;percaya diri
840;pelatda;pemusatan latihan daerah
841;pelatnas;pemusatan latihan nasional
842;pembokat;pembantu
843;pemda;pemerintah daerah
844;pemilu;pemilihan umum
845;pemkot;pemerintah kota
846;pemprov;pemerintah provinsi
847;pemred;pemimpin redaksi
848;pengen;ingin
849;penjas;pendidikan jasmani
850;penmas;pendidikan masyarakat
851;perda;peraturan daerah
852;perek;wanita tuna susila
853;perhatiin;perhatikan
854;pertamax;pertama
855;pesenan;pesanan
856;pesenin;pesankan
857;pgang;pegang
858;pgi;pergi
859;pi;tapi
860;pijetin;pijitkan
861;pilkada;pemilihan kepala daerah
862;pimpro;pemimpin proyek
863;pisan;sangat
864;pisgor;pisang goreng
865;pk;penjahat kelamin
866;pke;pakai
867;plg;paling
868;pm;private message
869;pmrnth;pemerintah
870;pny;punya
871;polantas;polisi lalu lintas
872;polwan;polisi wanita
873;ponpes;pondok pesantren
874;ponsel;telepon seluler
875;pp;pulang pergi
876;ppa;apa
877;prg;pergi
878;prikitiw;cie
879;priksa;periksa
880;prnh;pernah
881;pro;profesional
882;psen;pesan
883;psn;pesan
884;pst;pasti
885;psti;pasti
886;pswt;pesawat
887;puanas;panas
888;pw;posisi nyaman
889;qmo;kamu
890;qmu;kamu
891;qt;kita
892;rakor;rapat koordinasi
893;rame;ramai
894;ranmor;kendaraan bermotor
895;raskin;rakyat miskin
896;re;reply
897;red;redaksi
898;ref;referensi
899;reg;register
900;rehab;rehabilitasi
901;rejeki;rezeki
902;rempong;sulit
903;renstra;rencana strategis
904;repp;balas
905;reskrim;reserse kriminal
906;krim;kirim
907;restik;reserse narkotika
908;rhs;Rahasia
909;rhs;rahasia
910;rmbt;rambut
911;rmh;rumah
912;rofl;rolling on the floor laughing
913;ru;baru
914;rudal;peluru kendali
915;ruko;rumah toko
916;rusun;rumah susun
917;rusunawa;rumah susun sewa
918;rutan;rumah tahanan
919;ruz;terus
920;s4;sempat
921;saia;saya
922;saiank;sayang
923;salting;salah tingkah
924;saltum;salah kostum
925;sampe;sampai
926;sampeyan;anda
927;samsek;sama sekali
928;sapa;siapa
929;sapose;siapa
930;satkorlak;satuan koordinator pelaksana
931;satpam;satuan pengamanan
932;say;sayang
933;sbb;sebagai berikut
934;sbg;sebagai
935;sbh;sebuah
936;sblm;sebelum
937;sbnrny;sebenarnya
938;scara;secara
939;scr;secara
940;sdg;sedang
941;sdgkn;sedangkan
942;sdh;sudah
943;sdkt;sedikit
944;sdngkn;sedangkan
945;se7;setuju
946;seabrek;banyak
947;sebelas dua belas;mirip
948;sekjen;sekretaris jenderal
949;sembako;sembilan bahan pokok
950;sempak;celana dalam
951;sempet;sempat
952;sempet2nya;sempat-sempatnya
953;sendratari;seni drama tari
954;sertijab;serah terima jabatan
955;sgt;sangat
956;sgtunya;segitunya
957;shg;sehingga
958;sidak;inspeksi mendadak
959;siech;sih
960;sieyh;sih
961;sikon;situasi dan kondisi
962;simpedes;simpanan pedesaan
963;sinetron;sinema elektronik
964;sip;ok
965;siramin;siramkan
966;sis;kakak perempuan
967;sj;saja
968;skali;sekali
969;skalian;sekalian
970;skl;sekali
971;sklh;sekolah
972;skrg;sekarang
973;skt;sakit
974;skul;sekolah
975;slesai;selesai
976;slh;salah
977;sll;selalu
978;slm;salam
979;slma;selama
980;slmt;selamat
981;slsai;selesai
982;slt;sulit
983;smpt;sempat
984;smua;semua
985;smw;semua
986;smwny;semuanya
987;sndiri;sendiri
988;sng;senang
989;sni;sini
990;soljum;sholat jumat
991;somse;sombong sekali
992;songong;sombong
993;sorry;maaf
994;sory;maaf
995;sosbud;sosial-budaya
996;sosek;sosial-ekonomi
997;sospol;sosial-politik
998;sotoy;sok tahu
999;sowry;maaf
1000;spa;siapa
1001;spd;sepeda
1002;sppa;siapa
1003;sprti;seperti
1004;spt;seperti
1005;spy;supaya
1006;srtfkt;sertifikat
1007;stelah;setelah
1008;stiap;setiap
1009;stiap;setiap
1010;stlh;setelah
1011;subbag;subbagian
1012;suk;masuk
1013;sumbangin;sumbangkan
1014;sumpek;sempit
1015;sy;saya
1016;syg;sayang
1017;syp;siapa
1018;t4;tempat
1019;tabanas;tabungan pembangunan nasional
1020;tajir;kaya
1021;tar;nanti
1022;tau;tahu
1023;taun;tahun
1024;taw;tahu
1025;tawh;tahu
1026;td;tadi
1027;tdi;tadi
1028;tdk;tidak
1029;te2p;tetap
1030;teh;kakak perempuan
1031;tekor;rugi
1032;telat;terlambat
1033;telkom;telekomunikasi
1034;telmi;telat berpikir
1035;telp;telepon
1036;temen;teman
1037;temen2;teman-teman
1038;tengil;menyebalkan
1039;tengok;menjenguk
1040;tepar;terkapar
1041;terbitin;terbitkan
1042;tggu;tunggu
1043;tgl;tanggal
1044;tgu;tunggu
1045;thanks;terima kasih
1046;thankz;terima kasih
1047;thd;terhadap
1048;thn;tahun
1049;thx;terima kasih
1050;tilang;bukti pelanggaran
1051;tipi;TV
1052;tipiwan;TvOne
1053;tkg;tukang
1054;tks;terima kasih
1055;tll;terlalu
1056;tlp;telepon
1057;tlpn;telepon
1058;tls;tulis
1059;tman;teman
1060;tmbah;tambah
1061;tmbh;tambah
1062;tmen2;teman-teman
1063;tmn2;teman-teman
1064;tmpah;tumpah
1065;tmph;tumpah
1066;tmpt;tempat
1067;tnda;tanda
1068;tngu;tunggu
1069;tnh;tanah
1070;tnyta;ternyata
1071;togel;toto gelap
1072;tokai;tai
1073;tokai;tai
1074;toserba;toko serba ada
1075;tp;tapi
1076;tpi;tapi
1077;tq;terima kasih
1078;trdhulu;terdahulu
1079;trgntg;tergantung
1080;trima;terima kasih
1081;trims;terima kasih
1082;trimz;terima kasih
1083;trm;terima
1084;trnyt;ternyata
1085;trs;terus
1086;trus;terus
1087;trutama;terutama
1088;trz;terus
1089;ts;penulis
1090;tsb;tersebut
1091;tst;tahu sama tahu
1092;ttd;tertanda
1093;ttg;tentang
1094;ttp;tetap
1095;tuch;tuh
1096;tuh;itu
1097;tuir;tua
1098;tuwh;tuh
1099;tw;tahu
1100;tyap;tiap
1101;u;kamu
1102;u/;untuk
1103;ud;sudah
1104;uda;sudah
1105;udah;sudah
1106;udh;sudah
1107;ujg;ujung
1108;ujung2nya;ujung-ujungnya
1109;ul;ulangan
1110;ultah;ulang tahun
1111;unyu;lucu
1112;unyu;menggemaskan
1113;uplot;unggah
1114;uppu;apa
1115;urang;saya
1116;urg;saya
1117;usah;perlu
1118;utang;hutang
1119;utk;untuk
1120;utul;ujian tertulis
1121;valas;valuta asing
1122;vol;volume
1123;w/;dengan
1124;wad;buat
1125;wadir;wakil direktur
1126;wagub;wakil gubernur
1127;wamil;wajib militer
1128;waria;wanita pria
1129;warkop;warung kopi
1130;warnet;warung internet
1131;warteg;warung tegal
1132;wartel;warung telekomunikasi
1133;wat;buat
1134;wk;tertawa
1135;wkt;waktu
1136;wkwk;tertawa
1137;wtf;what the fuck
1138;wth;what the hell
1139;xixixi;tertawa
1140;y;kenapa
1141;ya;iya
1142;yad;yang akan datang
1143;yap;iya
1144;yapz;iya
1145;yaudah;ya sudah
1146;yauwda;ya sudah
1147;yawdah;ya sudah
1148;ybs;yang bersangkutan
1149;yg;yang
1150;yi;yaitu
1151;yl;yang lain
1152;yng;yang
1153;yo;iya
1154;yoha;iya
1155;yowes;ya sudah
1156;yuk;ayo
1157;yup;iya
1158;ywdh;ya sudah
1159;cb;coba
1160;plh;pilih
1161;y;ya
1162;slalu;selalu
1163;munfik;munafik
1164;ahiok;ahok
1165;reklamuk;reklamasi
1166;victory;menang
1167;sma;sama
1168;kmrm;kemeramen
1169;kmrn;kemarin
1170;kowe;kamu
1171;tren;trend
1172;smg;semoga
1173;ngehe;kesal
1174;humoris;lucu
1175;jadiin;jadi
1176;mb;mbak
1177;mz;mas
1178;komun;komunitas
1179;analisise;analisis
1180;stop;henti
1181;sadaar;sadar
1182;manen;panen
1183;sept;september
1184;nyaingin;saing
1185;nmenarik;menarik
1186;war;perang
1187;pake;pakai
1188;janjinyaa;janji
1189;zonk;bodoh
1190;fitnag;fitnah
1191;rights;benar
1192;gub;gubernur
1193;simiskin;miskin
1194;gantengbs;ganteng
1195;ngumpet;sembunyi
1196;bedakin;bedak
1197;hardcore;keras
1198;anjay;anjing
1199;akhirx;akhirnya
1200;prototype;contoh
1201;solve;solusi
1202;rja;raja
1203;watuk;batuk
1204;nyang;yang
1205;ngebully;intimidasi
1206;hurts;pedih
1207;masy;masyarakat
1208;utip;kutip
1209;still;masih
1210;mndukung;mendukung
1211;tauk;tahu
1212;pulgar;kasar
1213;mbual;membual
1214;manggil;panggil
1215;tioghoa;tionghoa
1216;rkyt;rakyat
1217;ngentotin;senggama
1218;ngentot;senggama
1219;kentot;senggama
1220;toys;main
1221;faktakta;fakta
1222;nyemot;ambil
1223;sohib;teman
1224;ego;emosi
1225;rubahnn;rubah
1226;mbaur;baur
1227;trlalu;terlalu
1228;governor;gubernur
1229;nyela;cela
1230;heter;pembenci
1231;heters;pembenci
1232;insom;insomnia
1233;nyembah;sembah
1234;slama;selama
1235;most;paling
1236;modar;mati
1237;ikon;lambang
1238;buangbuang;buang
1239;light;terang
1240;amerik;amarika
1241;pndukung;pendukung
1242;mbabibuta;ceroboh
1243;setting;atur
1244;emank;memang
1245;seting;akting
1246;maybe;mungkin
1247;next;lanjut
